game_index,subrun,subrun_game_index,seed,variant_color,standard_color,variant_name,variant_label,standard_name,standard_label,winner_color,winner_label,variant_won,standard_won,move_count,termination_reason,total_duration_s,variant_turns,standard_turns,variant_think_time_s,standard_think_time_s,variant_avg_move_time_s,standard_avg_move_time_s,variant_max_move_time_s,standard_max_move_time_s,variant_exceeded_move_time_limit,standard_exceeded_move_time_limit,variant_margin,abs_margin,board_size,move_limit,komi,black_label,white_label,black_family,white_family,black_won,white_won,black_margin,score_b,score_w,result_text
0,standard_black,0,20266414,white,black,Optimized MCTS,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",1,0,46,two_passes,356.39250246807933,23,23,120.153952152,236.23625036,5.22408487615,10.27114132,12.7071501212,21.0511756828,0,1,32.5,32.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",MCTS,MCTS,0,1,-32.5,0,25,W+32.5
1,standard_black,1,20266415,white,black,Optimized MCTS,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",1,0,46,two_passes,343.51494552753866,23,23,120.847867215,222.664799904,5.25425509631,9.68107825672,12.4387693089,20.6105604228,0,1,32.5,32.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",MCTS,MCTS,0,1,-32.5,0,25,W+32.5
2,standard_black,2,20266416,white,black,Optimized MCTS,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",1,0,48,two_passes,383.45981721859425,24,24,125.682859005,257.774473499,5.23678579189,10.7406030624,12.714679094,20.9639478978,0,1,32.5,32.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",MCTS,MCTS,0,1,-32.5,0,25,W+32.5
3,standard_black,3,20266417,white,black,Optimized MCTS,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",1,0,48,two_passes,351.74245816934854,24,24,121.091764547,230.648374191,5.04549018946,9.61034892465,12.5068745185,20.6205922309,0,1,32.5,32.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",MCTS,MCTS,0,1,-32.5,0,25,W+32.5
4,standard_black,4,20266418,white,black,Optimized MCTS,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",1,0,50,two_passes,351.60883914120495,25,25,114.607246628,236.999226691,4.58428986512,9.47996906765,12.4247419806,20.5615924466,0,1,32.5,32.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",MCTS,MCTS,0,1,-32.5,0,25,W+32.5
5,standard_white,0,20266419,black,white,Optimized MCTS,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",0,1,26,two_passes,276.825528472662,13,13,85.8648415888,190.959411218,6.60498781452,14.6891854783,12.2318202229,20.5684311669,0,1,-4.5,4.5,5,50,7.5,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,0,1,-4.5,14,11,W+4.5
6,standard_white,1,20266420,black,white,Optimized MCTS,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",1,0,35,two_passes,316.1962038008496,18,17,97.4530258048,218.741487831,5.41405698916,12.867146343,12.4588133516,20.8346228134,0,1,8.5,8.5,5,50,7.5,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,8.5,20,4,B+8.5
7,standard_white,2,20266421,black,white,Optimized MCTS,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",1,0,47,two_passes,323.8312129806727,24,23,100.695509133,223.13338054,4.19564621387,9.70145132781,12.3654225199,20.8484561034,0,1,17.5,17.5,5,50,7.5,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,17.5,25,0,B+17.5
8,standard_white,3,20266422,black,white,Optimized MCTS,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",1,0,45,two_passes,314.14253870770335,23,22,98.0827312833,216.057790596,4.26446657753,9.82080866346,12.2142824596,20.498531648,0,1,17.5,17.5,5,50,7.5,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,17.5,25,0,B+17.5
9,standard_white,4,20266423,black,white,Optimized MCTS,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",1,0,47,two_passes,391.4638793198392,24,23,116.873532355,274.588035135,4.86973051478,11.9386102232,12.2916598208,20.7187553793,0,1,17.5,17.5,5,50,7.5,"MCTS(rounds=1000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,17.5,25,0,B+17.5
